date	open	high	low	close	volume
2010-01-04	25.436282332605284	25.835021381744056	25.411360259406774	25.710416	38409100
2010-01-05	25.627344939513726	25.83502196495549	25.452895407434543	25.718722	49749600
2010-01-06	25.65226505944465	25.81840750861228	25.353210976925574	25.560888	58182400
2010-01-07	25.444587793771767	25.502739021094353	25.079077898061875	25.295062	50559700
2010-01-08	25.153841756996414	25.6522649488092	25.120612602739726	25.46951	51197400
2010-01-11	25.511044730573705	25.55258096597291	25.02092861663475	25.145534	68754700
2010-01-12	25.045848646491518	25.253525666777517	24.84647870701696	24.979392	65912100
2010-01-13	25.13722727051071	25.353211377924218	24.929550244151567	25.211991	51863500
2010-01-14	25.178761733851413	25.83502196495549	25.137227159471163	25.718722	63228100
2010-01-15	25.818406945612217	25.95132023748152	25.51104412745638	25.635652	79913200
2010-01-19	25.544274163987136	25.95132113440514	25.486124596784563	25.835022	46575700
2010-01-20	25.59411494568944	25.702108656795026	25.17876090842236	25.41136	54849500
2010-01-21	25.427975689088637	25.51935191837554	24.92124291902699	24.92955	73086700
2010-01-22	24.921242227943445	25.087384673504477	23.9576208617963	24.057305	102004600
2010-01-25	24.289904353342425	24.63880174829468	24.17360522169168	24.356361	63373000
2010-01-26	24.256677400199628	24.796636835593223	24.165298678305085	24.505889	66639900
2010-01-27	24.381282411526794	24.771715213346813	24.107148742163798	24.647109	63949500
2010-01-28	24.788329503429356	24.813251576935805	23.999155984106725	24.223448	117513700
2010-01-29	24.838171916252662	24.854786078069555	22.977385792760824	23.409354	193888500
2010-02-01	23.583802007377084	23.658566566701865	23.193370033086943	23.600417	85931100
2010-02-02	23.567188934614894	23.675180153730853	23.376124415817756	23.641951	54413700
2010-02-03	23.47581083464236	23.916086957012187	23.359512531703963	23.783172	61397900
2010-02-04	23.575494533516057	23.67518033405172	23.101990926835022	23.126913	77850000
2010-02-05	23.259826837972874	23.492425937060705	22.90262235438972	23.276441	80960100
2010-02-08	23.268134182833126	23.326283750587436	22.902622614091726	23.027228	52820600
2010-02-09	23.234904845121957	23.542267674401998	23.052149892895393	23.268134	59195800
2010-02-10	23.284748153680564	23.459196018578062	23.12691278885316	23.251519	48591300
2010-02-11	23.201676634364272	23.59210943129056	23.01061460700204	23.359512	65993700
2010-02-12	23.101991198292986	23.309668221207414	22.9109291679198	23.201677	81117200
2010-02-16	23.47709177175651	23.677395688560953	23.38528740952381	23.660703	51935600
2010-02-17	23.810930273207585	23.911080561385095	23.669049515949805	23.861005	45882900
2010-02-18	23.861005604453073	24.228227231839046	23.794238187581573	24.17815	42856500
2010-02-19	24.0279246886073	24.13642090510949	23.944465418534303	24.011232	44451800
2010-02-22	24.06965319596241	24.15311329961183	23.91108058475461	23.977848	36707100
2010-02-23	23.93611844264031	24.061307346629015	23.443708753618075	23.644011	52266200
2010-02-24	23.80258363823205	24.027924500255413	23.685739826453087	23.894388	43165900
2010-02-25	23.593936399999997	23.911081636363633	23.385288218181813	23.869352	48735300
2010-02-26	23.911081145797	24.077999687826996	23.794238166376	23.927773	40370600
2010-03-01	24.01123281771192	24.24491794728184	23.810931397308096	24.219881	43805400
2010-03-02	24.26995529971733	24.45356485597533	23.568897443742003	23.752507	93123900
2010-03-03	23.794237468876933	23.87769757203811	23.660702639167347	23.752507	48442100
2010-03-04	23.7525072419881	23.911080688476446	23.593935464685135	23.894388	42890600
2010-03-05	23.919426488282614	23.93611834207765	23.719124242742218	23.861005	56001800
2010-03-08	23.80258363823205	24.144766642848992	23.785891784348298	23.894388	39414500
2010-03-09	23.835966751378393	24.294994406988312	23.827620824352493	24.036269	50271600
2010-03-10	24.086346470987106	24.29499464871055	24.036269239148055	24.17815	44891400
2010-03-11	24.11138228226816	24.361761761597496	24.077999408841674	24.353415	35349700
2010-03-12	24.470258636146227	24.520333364928977	24.23657350832009	24.428529	31700200
2010-03-15	24.35341496847337	24.511988415951947	24.21153420957548	24.445221	37512000
2010-03-16	24.55371679966916	24.61213828763574	24.370107243509732	24.511988	36723500
2010-03-17	24.620484783006575	24.929284918267495	24.5370255125557	24.728981	50385700
2010-03-18	24.728980184354267	24.804093525282557	24.620483970939414	24.71229	43845200
2010-03-19	24.837478759040216	24.954321737073336	24.495295751943225	24.695598	81332100
2010-03-22	24.62048472972973	24.787404104862972	24.52867869783973	24.703944	37718200
2010-03-23	24.695597951994575	24.95432168856498	24.545371266244018	24.937629	42026600
2010-03-24	24.804093653097034	24.912591536256325	24.70394336593592	24.745673	33987700
2010-03-25	24.89590031356214	25.51349891336221	24.870861697896466	25.046127	73168700
